userNo,registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount
sd9620aa03a9839dc9c70b270756e860c,1090,1081,372.67,54.85,0.838,36,33,3,0,183,133,50,0,0,0,92
sa3b09d71c04637b09e5fa221fa9c9e79,124,74,58.62,87.27,0.966,28,15,13,0,63,40,23,0,0,0,41
sb2bc89e32e1738368020ffed7a9fffae,193,193,0.0,321.0,1.0,2,2,0,0,9,9,0,0,0,0,8
s1fc72a2169a53e4fac695c69cfab017b,322,80,0.0,83.16,0.802,81,81,0,0,84,84,0,0,0,0,24
s8a0100686a0b32e9b47d2d7c81cbc1d2,240,240,0.0,294.0,0.5,1,1,0,0,2,2,0,0,0,0,2
sdbddb86fa2e93b3ba79b40259d4494a7,117,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s73019076dfac3dce90cbe4ab20bae4ff,1137,1137,0.0,114.0,0.5,1,1,0,0,46,26,20,0,0,0,38
s209032fa978435b29a3e5d186561cbab,1523,204,0.0,149.45,0.648,22,22,0,0,56,53,3,0,0,0,42
s9882b4757efd33f8bcbc3282326458ee,188,78,76.8,69.0,1.0,20,15,5,0,40,34,6,0,0,0,19
sa0bc6ff782143275841967751e8e21e0,111,70,0.0,105.1,1.0,21,21,0,0,117,116,1,0,0,0,59
s37568be80e813b7eb120d3678bfef23f,197,193,67.0,178.0,1.0,2,1,1,0,3,2,1,0,0,0,3
sef84b8b1da1f30e88ec702e95130d29c,244,244,64.63,137.5,0.953,20,12,8,0,31,19,12,0,0,0,23
sf8910d45a48337dbbcf065895c2e9104,210,210,0.0,114.34,0.866,58,58,0,0,318,318,0,0,0,0,79
s43e98518bd0b3012a6464512d9403fee,178,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
sb22ef5e613e63cf38a24b199516127f9,270,262,151.78,84.17,1.0,21,12,9,0,22,12,10,0,0,0,11
sb544519aa9df3aabad8640f1eb418f56,1225,237,0.0,176.67,0.75,3,3,0,0,12,12,0,0,0,0,11
sc8492866d5df36e58a14f4e2ef199150,2936,1566,0.0,157.67,0.75,3,3,0,0,60,42,18,0,0,0,56
s1723273a392d3cc3a653c8a1c5356cb2,91,4,0.0,107.0,0.25,1,1,0,0,1,1,0,0,0,0,1
sa85460d2a28b32c1a6c36ee064c06f19,831,831,0.0,316.82,0.688,11,11,0,0,131,131,0,0,0,0,97
scedc62bb11cf325e9ca9530e731c3f56,746,76,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,1
s71125228e1c739848881066b724a4fb0,292,286,0.0,108.8,0.834,5,5,0,0,40,40,0,0,0,0,27
sb7f326e8c5d735679134604a5fb0d172,237,237,0.0,110.45,0.815,22,22,0,0,142,142,0,0,0,0,73
sc1d079c7eed33aa7922db8f5f60ed861,63,62,229.11,57.74,0.819,36,27,9,0,55,44,11,0,0,0,21
s04211ed9f8413823902688d33bdbd635,450,428,0.0,270.33,0.75,3,3,0,0,39,38,1,0,0,0,32
s4081f0f558133173b4f8118259aa6123,53,53,0.0,360.0,0.5,2,2,0,0,5,5,0,0,0,0,5
s18777a8aaf993c02a3f88b9558a5d5dc,468,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
sea59da4f474e3db7b65651329b4bbf27,1512,593,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s69215f1151c83f89aa74aff7be774319,317,317,53.57,134.94,0.807,25,18,7,0,357,268,89,0,0,0,227
s4635ac66a7b0377c8168b67226094d1a,65,62,0.0,130.6,0.961,98,98,0,0,195,195,0,0,0,0,40
s2f814a6447e23a259333c02e35002b3e,181,181,100.56,87.18,0.87,60,51,9,0,284,239,45,0,0,0,77
s06ca79a73f2531b3bd61368aac90243e,735,336,0.0,146.36,0.934,14,14,0,0,16,16,0,0,0,0,14
s51cf40c940a235e39559ffce196475b5,298,220,359.17,82.69,0.847,22,16,6,0,91,73,18,0,0,0,66
s5df2aafc2ca43f729a747cc27f19652f,331,15,0.0,111.5,0.5,2,2,0,0,2,2,0,0,0,0,2
s783efdb8b94d3b43809ecca672d5af48,125,125,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
s944adf499be836c18a13d2a507186a31,354,102,0.0,55.77,0.813,13,13,0,0,41,41,0,0,0,0,28
se23855bc85773c269843dd97f98f0b2d,67,59,2354.94,72.56,0.91,50,32,18,0,62,42,20,0,0,0,15
scebcab9683bf3ce0934503bf9bfac225,522,522,88.0,102.67,0.942,16,15,1,0,52,45,7,0,0,0,40
s554930707c513700b3f6c18dd123db59,727,516,187.25,77.46,0.938,30,26,4,0,85,60,25,0,0,0,55
s6cfc6fa9749031f5b787b4ba84b04810,325,325,116.2,73.44,0.866,58,43,15,0,1214,840,374,0,0,0,593
s020f6ca8a85a36478cf0b27a2222427a,465,29,640.0,139.78,0.84,21,9,12,0,21,9,12,0,0,0,19
sf79b589f1c283170bd101d3fa72972c7,1267,81,0.0,195.0,0.334,1,1,0,0,2,1,1,0,0,0,2
sd630092131dd36fa979164031cc81588,847,846,0.0,277.5,1.0,2,2,0,0,26,19,7,0,0,0,22
s67d85d0bb49a39e6b02598722bf02a64,1446,1098,79.75,152.81,0.893,25,21,4,0,53,39,14,0,0,0,43
sf581afda2a1a3e969330b927421714b1,244,216,0.0,159.33,0.75,3,3,0,0,7,7,0,0,0,0,6
sb426c26e10933fbb8e65a83cb76c17ce,304,295,36.5,124.74,0.962,25,19,6,0,111,83,28,0,0,0,87
s4dbf8538134c3b4e82c97150c8fccebd,549,283,0.0,260.29,1.0,7,7,0,0,14,14,0,0,0,0,11
s228352332daf305a9ca26f4d6a136ed1,1411,517,982.17,176.58,0.807,25,19,6,0,64,47,17,0,0,0,34
s3ddb426e8a9836ffa2135dc1cdb55b3d,330,4,0.0,84.5,0.334,2,2,0,0,2,2,0,0,0,0,2
